Order ID,Order Date,CustomerName,State,City
B-25929,2018-11-29,Girase,Kerala ,Thiruvananthapuram
B-26006,2018-11-30,Arpita,Karnataka,Bangalore
B-25697,2018-12-01,Vijay,Jammu and Kashmir,Kashmir
B-25836,2018-12-02,Arti,Maharashtra,Pune
B-25601,2018-12-03,Bharat,Gujarat,Ahmedabad
B-25873,2018-12-04,Divyeta,Madhya Pradesh,Indore
B-26028,2018-12-05,Manju,Andhra Pradesh,Hyderabad
B-25964,2018-12-06,Oshin,Maharashtra,Pune
B-25676,2018-12-07,Chandni,Rajasthan,Jaipur
B-25839,2018-12-08,Pranjali,West Bengal,Kolkata
B-25894,2018-12-09,Monu,Punjab,Amritsar
B-25925,2018-12-10,Shruti,Maharashtra,Mumbai
B-25953,2018-12-11,Krutika,Andhra Pradesh,Hyderabad
B-25772,2018-12-12,Sanjana,Bihar,Patna
B-25957,2018-12-13,Mahima,Madhya Pradesh,Indore
B-25730,2018-12-14,Rishabh,Rajasthan,Jaipur
B-25877,2018-12-15,Dashyam,Gujarat,Surat
B-26067,2018-12-16,Tulika,Madhya Pradesh,Bhopal
B-25810,2018-12-17,Nripraj,Punjab,Chandigarh
B-25868,2018-12-18,Vikash,Goa,Goa
B-26023,2018-12-19,Mukesh,Haryana,Chandigarh
B-25626,2018-12-20,Bhishm,Maharashtra,Mumbai
B-25937,2018-12-21,Ankit,Haryana,Chandigarh
B-25610,2018-12-22,Yogesh,Bihar,Patna
B-25777,2018-12-23,Aditi,Madhya Pradesh,Indore
B-25738,2018-12-24,Ayush,Punjab,Chandigarh
B-25978,2018-12-25,Parin,Maharashtra,Mumbai
B-25643,2018-12-26,Kirti,Jammu and Kashmir,Kashmir
B-25728,2018-12-27,Ameesha,Maharashtra,Pune
B-25749,2018-12-28,Ayush,Maharashtra,Mumbai
B-25667,2018-12-29,Anjali,Haryana,Chandigarh
B-25657,2018-12-30,Tulika,Madhya Pradesh,Bhopal
B-25753,2018-12-31,Shivam,Uttar Pradesh,Lucknow
B-26061,2019-01-01,Anurag,Madhya Pradesh,Indore
B-25838,2019-01-02,Sanjana,Madhya Pradesh,Indore
B-25702,2019-01-03,Shaily,Maharashtra,Mumbai
B-25952,2019-01-04,Priyanka,Madhya Pradesh,Indore
B-25666,2019-01-05,Tanvi,Punjab,Chandigarh
B-25675,2019-01-06,Shreya,Madhya Pradesh,Bhopal
B-25650,2019-01-07,Chirag,Maharashtra,Mumbai
B-25986,2019-01-08,Shweta,Rajasthan,Udaipur
B-25850,2019-01-09,Abhishek,Goa,Goa
B-25898,2019-01-10,Abhishek,Rajasthan,Udaipur
B-25813,2019-01-11,Hrisheekesh,Maharashtra,Mumbai
B-25825,2019-01-12,Kartik,Madhya Pradesh,Indore
B-25954,2019-01-13,Trupti,Gujarat,Ahmedabad
B-25696,2019-01-14,Noopur,Karnataka,Bangalore
B-25638,2019-01-15,Parth,Maharashtra,Pune
B-25747,2019-01-16,Harsh,Madhya Pradesh,Bhopal
B-25904,2019-01-17,Swapnil,Delhi,Delhi
B-25852,2019-01-18,Soumyabrata,Andhra Pradesh,Hyderabad
B-25981,2019-01-19,Amruta,Delhi,Delhi
B-25899,2019-01-20,Aishwarya,Uttar Pradesh,Prayagraj
B-25870,2019-01-21,Pranav,Andhra Pradesh,Hyderabad
B-26040,2019-01-22,Sahil,Punjab,Chandigarh
B-25671,2019-01-23,Mitali,Nagaland,Kohima
B-26100,2019-01-24,Hitika,Madhya Pradesh,Indore
B-25651,2019-01-25,Anurag,Madhya Pradesh,Indore
B-25968,2019-01-26,Paromita,Punjab,Amritsar
B-26019,2019-01-27,Jitesh,Uttar Pradesh,Lucknow
B-25664,2019-01-28,Pratyusmita,Bihar,Patna
B-26033,2019-01-29,Atharv,West Bengal,Kolkata
B-26052,2019-01-30,Ajay,Karnataka,Bangalore
B-25999,2019-01-31,Diwakar,Delhi,Delhi
B-25781,2019-02-01,Rutuja,Gujarat,Ahmedabad
B-25764,2019-02-02,Sanjova,Maharashtra,Pune
B-25803,2019-02-03,Shivanshu,Madhya Pradesh,Indore
B-25945,2019-02-04,Mhatre,Madhya Pradesh,Indore
B-26086,2019-02-05,Mukesh,Haryana,Chandigarh
B-25845,2019-02-06,Snel,Kerala ,Thiruvananthapuram
B-25817,2019-02-07,Praneet,Maharashtra,Mumbai
B-25951,2019-02-08,Jesal,West Bengal,Kolkata
B-25970,2019-02-09,Rhea,Maharashtra,Mumbai
B-25878,2019-02-10,Mrinal,Maharashtra,Mumbai
B-26057,2019-02-11,Sharda,Kerala ,Thiruvananthapuram
B-25885,2019-02-12,Shatayu,Madhya Pradesh,Indore
B-25897,2019-02-13,Rohan,Madhya Pradesh,Indore
B-25756,2019-02-14,Mohan,Maharashtra,Mumbai
B-25859,2019-02-15,Chikku,Madhya Pradesh,Indore
B-25691,2019-02-16,Akancha,Maharashtra,Mumbai
B-25633,2019-02-17,Amit,Sikkim,Gangtok
B-25708,2019-02-18,Kishwar,Madhya Pradesh,Indore
B-25831,2019-02-19,Mahima,Sikkim,Gangtok
B-25856,2019-02-20,Abhijeet,Maharashtra,Mumbai
B-25893,2019-02-21,Vrinda,Uttar Pradesh,Mathura
B-25959,2019-02-22,Muskan,Madhya Pradesh,Indore
B-26000,2019-02-23,Shubham,Delhi,Delhi
B-26097,2019-02-24,Vini,Karnataka,Bangalore
B-25745,2019-02-25,Kartik,Gujarat,Ahmedabad
B-25974,2019-02-26,Manisha,Rajasthan,Udaipur
B-25670,2019-02-27,Charika,Goa,Goa
B-25848,2019-02-28,Rohan,Himachal Pradesh,Simla
B-25888,2019-03-01,Rohan,Punjab,Amritsar
B-25942,2019-03-02,Ankur,Andhra Pradesh,Hyderabad
B-25847,2019-03-03,Aniket,Haryana,Chandigarh
B-25636,2019-03-04,Nishi,Maharashtra,Mumbai
B-25826,2019-03-05,Tanushree,Maharashtra,Mumbai
B-26081,2019-03-06,Aarushi,Tamil Nadu,Chennai
B-25625,2019-03-07,Pinky,Jammu and Kashmir,Kashmir
B-25802,2019-03-08,Yash,Maharashtra,Mumbai
B-25693,2019-03-09,Parna,Madhya Pradesh,Bhopal
B-25796,2019-03-10,Sukrith,Maharashtra,Mumbai
B-25806,2019-03-11,Dhanraj,Madhya Pradesh,Indore
B-25710,2019-03-12,Megha,Maharashtra,Pune
B-25669,2019-03-13,Piyali,Sikkim,Gangtok
B-25857,2019-03-14,Anand,Madhya Pradesh,Indore
B-25785,2019-03-15,Ayush,West Bengal,Kolkata
B-25930,2019-03-16,Monica,Punjab,Chandigarh
B-26053,2019-03-17,Kirti,Jammu and Kashmir,Kashmir
B-26070,2019-03-18,Shruti,Karnataka,Bangalore
B-25791,2019-03-19,Avish,Kerala ,Thiruvananthapuram
B-25983,2019-03-20,Atul,Delhi,Delhi
B-25979,2019-03-21,Shivangi,Madhya Pradesh,Indore
B-26054,2019-03-22,Mayank,Maharashtra,Mumbai
B-26078,2019-03-23,Kasheen,West Bengal,Kolkata
B-25787,2019-03-24,Asish,Jammu and Kashmir,Kashmir
B-25682,2019-03-25,Krutika,Bihar,Patna
B-25962,2019-03-26,Tejeswini,Maharashtra,Pune
B-25750,2019-03-27,Priyanshu,Madhya Pradesh,Indore
B-25828,2019-03-28,Nikita,Punjab,Chandigarh
B-25622,2019-03-29,Monisha,Rajasthan,Jaipur
B-25751,2019-03-30,Nishant,Maharashtra,Mumbai
B-25685,2019-03-31,Sheetal,Madhya Pradesh,Indore
B-26010,2019-04-01,Kartikay,Bihar,Patna
B-26035,2019-04-02,Pinky,Jammu and Kashmir,Kashmir
B-25698,2019-04-03,Amisha,Tamil Nadu,Chennai
B-25966,2019-04-04,Soumya,Rajasthan,Udaipur
B-25832,2019-04-05,Harshita,Maharashtra,Mumbai
B-25743,2019-04-06,Aman,Nagaland,Kohima
B-25886,2019-04-07,Brijesh,Rajasthan,Udaipur
B-25975,2019-04-08,Priyanka,Uttar Pradesh,Prayagraj
B-26098,2019-04-09,Pinky,Jammu and Kashmir,Kashmir
B-25614,2019-04-10,Vandana,Himachal Pradesh,Simla
B-25726,2019-04-11,Kiran,Maharashtra,Mumbai
B-26050,2019-04-12,Paridhi,Rajasthan,Jaipur
B-25609,2019-04-13,Jitesh,Uttar Pradesh,Lucknow
B-25741,2019-04-14,Navdeep,Madhya Pradesh,Indore
B-25956,2019-04-15,Shreya,Maharashtra,Mumbai
B-25689,2019-04-16,Bhaggyasree,Maharashtra,Mumbai
B-25939,2019-04-17,Vineet,Sikkim,Gangtok
B-25890,2019-04-18,Divyansha,Maharashtra,Mumbai
B-25814,2019-04-19,Swapnil,Madhya Pradesh,Indore
B-25718,2019-04-20,Anjali,Maharashtra,Mumbai
B-25914,2019-04-21,Kajal,Delhi,Delhi
B-25903,2019-04-22,Amlan,Madhya Pradesh,Indore
B-26096,2019-04-23,Atharv,West Bengal,Kolkata
B-25654,2019-04-24,Sabah,Maharashtra,Mumbai
B-26076,2019-04-25,Jahan,Madhya Pradesh,Bhopal
B-25961,2019-04-26,Surbhi,Gujarat,Ahmedabad
B-25854,2019-04-27,Shubham,Maharashtra,Pune
B-25642,2019-04-28,Ajay,Karnataka,Bangalore
B-25683,2019-04-29,Shreya,Kerala ,Thiruvananthapuram
B-26016,2019-04-30,Hazel,Karnataka,Bangalore
B-26034,2019-05-01,Vini,Karnataka,Bangalore
B-26056,2019-05-02,Sonal,Bihar,Patna
B-25819,2019-05-03,Ankur,Madhya Pradesh,Bhopal
B-25715,2019-05-04,Srishti,Jammu and Kashmir,Kashmir
B-25933,2019-05-05,Shikhar,Maharashtra,Mumbai
B-26014,2019-05-06,Divsha,Rajasthan,Jaipur
B-25655,2019-05-07,Nida,Madhya Pradesh,Indore
B-25816,2019-05-08,Mane,Andhra Pradesh,Hyderabad
B-25634,2019-05-09,Sanjay,Goa,Goa
B-25895,2019-05-10,Sathya,Gujarat,Surat
B-25687,2019-05-11,Sanjna,Maharashtra,Mumbai
B-25662,2019-05-12,Sweta,Maharashtra,Mumbai
B-25635,2019-05-13,Nidhi,Nagaland,Kohima
B-26060,2019-05-14,Chirag,Maharashtra,Mumbai
B-26045,2019-05-15,Nidhi,Nagaland,Kohima
B-25770,2019-05-16,Sakshi,Madhya Pradesh,Indore
B-25744,2019-05-17,Devendra,Andhra Pradesh,Hyderabad
B-25618,2019-05-18,Manju,Andhra Pradesh,Hyderabad
B-25958,2019-05-19,Aparajita,West Bengal,Kolkata
B-25769,2019-05-20,Surbhi,Maharashtra,Mumbai
B-25619,2019-05-21,Ramesh,Gujarat,Ahmedabad
B-25688,2019-05-22,Swetha,Madhya Pradesh,Indore
B-25829,2019-05-23,Apoorva,Haryana,Chandigarh
B-26036,2019-05-24,Bhishm,Maharashtra,Mumbai
B-25714,2019-05-25,Stuti,Karnataka,Bangalore
B-25989,2019-05-26,Anjali,Delhi,Delhi
B-25849,2019-05-27,K,Sikkim,Gangtok
B-25851,2019-05-28,Kushal,Nagaland,Kohima
B-25782,2019-05-29,Aayushi,Maharashtra,Mumbai
B-25621,2019-05-30,Deepak,Madhya Pradesh,Bhopal
B-25996,2019-05-31,Prashant,Delhi,Delhi
B-25678,2019-06-01,Bathina,Karnataka,Bangalore
B-25727,2019-06-02,Turumella,Madhya Pradesh,Indore
B-26018,2019-06-03,Aarushi,Tamil Nadu,Chennai
B-25760,2019-06-04,Pooja,Goa,Goa
B-25804,2019-06-05,Sudheer,Karnataka,Bangalore
B-25754,2019-06-06,Akshay,Bihar,Patna
B-26020,2019-06-07,Yogesh,Bihar,Patna
B-25640,2019-06-08,Paridhi,Rajasthan,Jaipur
B-25789,2019-06-09,Akshay,Uttar Pradesh,Lucknow
B-26072,2019-06-10,Sweta,Maharashtra,Mumbai
B-26007,2019-06-11,Shubham,Jammu and Kashmir,Kashmir
B-26087,2019-06-12,Vandana,Himachal Pradesh,Simla
B-25617,2019-06-13,Sagar,Nagaland,Kohima
B-25984,2019-06-14,Kajal,Delhi,Delhi
B-25767,2019-06-15,Ashmeet,West Bengal,Kolkata
B-25987,2019-06-16,Manjiri,Delhi,Delhi
B-25840,2019-06-17,Sneha,Karnataka,Bangalore
B-25663,2019-06-18,Pournamasi,Madhya Pradesh,Indore
B-26030,2019-06-19,Sarita,Maharashtra,Pune
B-25947,2019-06-20,Chetan,Gujarat,Ahmedabad
B-25896,2019-06-21,Aman,Maharashtra,Mumbai
B-26009,2019-06-22,Komal,Uttar Pradesh,Lucknow
B-25876,2019-06-23,Bhosale,Punjab,Amritsar
B-25915,2019-06-24,Sukruta,Punjab,Amritsar
B-25795,2019-06-25,Sukant,Sikkim,Gangtok
B-26002,2019-06-26,Harsh,Delhi,Delhi
B-25645,2019-06-27,Yaanvi,Madhya Pradesh,Indore
B-25837,2019-06-28,Palak,Maharashtra,Mumbai
B-25612,2019-06-29,Shrichand,Punjab,Chandigarh
B-25812,2019-06-30,Kshitij,Madhya Pradesh,Indore
B-25843,2019-07-01,Mrunal,Maharashtra,Mumbai
B-26026,2019-07-02,Kanak,Goa,Goa
B-25773,2019-07-03,Shreya,Kerala ,Thiruvananthapuram
B-25875,2019-07-04,Divyeshkumar,Uttar Pradesh,Prayagraj
B-25660,2019-07-05,Shruti,Karnataka,Bangalore
B-25918,2019-07-06,Karandeep,Madhya Pradesh,Indore
B-25971,2019-07-07,Mitali,Madhya Pradesh,Indore
B-26063,2019-07-08,Farah,Nagaland,Kohima
B-25867,2019-07-09,Ankit,Sikkim,Gangtok
B-25703,2019-07-10,Ekta,Madhya Pradesh,Indore
B-25661,2019-07-11,Subhashree,Jammu and Kashmir,Kashmir
B-25748,2019-07-12,Nitant,Rajasthan,Jaipur
B-25766,2019-07-13,Surabhi,Rajasthan,Jaipur
B-25861,2019-07-14,Aayush,Uttar Pradesh,Lucknow
B-26058,2019-07-15,Aditya,Punjab,Chandigarh
B-25808,2019-07-16,Apsingekar,Bihar,Patna
B-25900,2019-07-17,Anand,Punjab,Amritsar
B-26084,2019-07-18,Anita,Kerala ,Thiruvananthapuram
B-25652,2019-07-19,Tushina,Goa,Goa
B-26008,2019-07-20,Kalyani,Tamil Nadu,Chennai
B-25799,2019-07-21,Divyansh,Gujarat,Ahmedabad
B-25927,2019-07-22,Shreya,Uttar Pradesh,Lucknow
B-25985,2019-07-23,Ginny,Madhya Pradesh,Indore
B-25994,2019-07-24,Omkar,Delhi,Delhi
B-25620,2019-07-25,Sarita,Maharashtra,Pune
B-25712,2019-07-26,Adhvaita,Rajasthan,Jaipur
B-25976,2019-07-27,Piyam,Punjab,Amritsar
B-26068,2019-07-28,Shefali,Rajasthan,Jaipur
B-25721,2019-07-29,Anchal,Haryana,Chandigarh
B-25863,2019-07-30,Manibalan,Kerala ,Thiruvananthapuram
B-25991,2019-07-31,Mansi,Madhya Pradesh,Indore
B-25737,2019-08-01,Shubham,Madhya Pradesh,Indore
B-26043,2019-08-02,Amit,Sikkim,Gangtok
B-25977,2019-08-03,Aayushi,Gujarat,Surat
B-25908,2019-08-04,Pradeep,Delhi,Delhi
B-25941,2019-08-05,Jaideep,Nagaland,Kohima
B-25794,2019-08-06,Aditya,Himachal Pradesh,Simla
B-26041,2019-08-07,Ritu,Haryana,Chandigarh
B-25695,2019-08-08,Suhani,West Bengal,Kolkata
B-25960,2019-08-09,Shreya,Andhra Pradesh,Hyderabad
B-26037,2019-08-10,Hitika,Madhya Pradesh,Indore
B-25921,2019-08-11,Sandra,Punjab,Amritsar
B-25944,2019-08-12,Syed,Maharashtra,Pune
B-25724,2019-08-13,Sheetal,Madhya Pradesh,Indore
B-26024,2019-08-14,Vandana,Himachal Pradesh,Simla
B-25694,2019-08-15,Subhasmita,Rajasthan,Jaipur
B-25665,2019-08-16,Chayanika,Kerala ,Thiruvananthapuram
B-26004,2019-08-17,Nandita,Rajasthan,Jaipur
B-25611,2019-08-18,Anita,Kerala ,Thiruvananthapuram
B-25901,2019-08-19,Suraj,Gujarat,Surat
B-25623,2019-08-20,Atharv,West Bengal,Kolkata
B-25713,2019-08-21,Raksha,West Bengal,Kolkata
B-26091,2019-08-22,Manju,Andhra Pradesh,Hyderabad
B-25604,2019-08-23,Divsha,Rajasthan,Jaipur
B-25827,2019-08-24,Sheetal,Madhya Pradesh,Indore
B-25835,2019-08-25,Moumita,Gujarat,Ahmedabad
B-26025,2019-08-26,Bhavna,Sikkim,Gangtok
B-25809,2019-08-27,Suman,Kerala ,Thiruvananthapuram
B-25905,2019-08-28,Bhargav,Delhi,Delhi
B-25948,2019-08-29,Mukund,Maharashtra,Pune
B-26094,2019-08-30,Deepak,Madhya Pradesh,Bhopal
B-25949,2019-08-31,Shantanu,Maharashtra,Mumbai
B-26001,2019-09-01,Patil,Delhi,Delhi
B-25771,2019-09-02,Vaibhavi,Uttar Pradesh,Lucknow
B-25659,2019-09-03,Sanskriti,West Bengal,Kolkata
B-25924,2019-09-04,Prajakta,Karnataka,Bangalore
B-25883,2019-09-05,Saptadeep,Gujarat,Surat
B-25946,2019-09-06,Saurabh,Andhra Pradesh,Hyderabad
B-26065,2019-09-07,Nida,Madhya Pradesh,Indore
B-26083,2019-09-08,Yogesh,Bihar,Patna
B-25725,2019-09-09,Anisha,Nagaland,Kohima
B-25630,2019-09-10,Sahil,Punjab,Chandigarh
B-25673,2019-09-11,Arsheen,Gujarat,Ahmedabad
B-25692,2019-09-12,Rashmi,Madhya Pradesh,Indore
B-25992,2019-09-13,Gaurav,Rajasthan,Udaipur
B-25765,2019-09-14,Meghana,Madhya Pradesh,Bhopal
B-25892,2019-09-15,Aditi,Rajasthan,Udaipur
B-26089,2019-09-16,Kanak,Goa,Goa
B-25780,2019-09-17,Teena,Andhra Pradesh,Hyderabad
B-25684,2019-09-18,Samiksha,Maharashtra,Mumbai
B-25739,2019-09-19,Daksh,Haryana,Chandigarh
B-25731,2019-09-20,Akash,West Bengal,Kolkata
B-25648,2019-09-21,Aditya,Punjab,Chandigarh
B-26038,2019-09-22,Pooja,Bihar,Patna
B-25700,2019-09-23,Shubhi,Maharashtra,Mumbai
B-26015,2019-09-24,Kasheen,West Bengal,Kolkata
B-25704,2019-09-25,Riya,Maharashtra,Mumbai
B-25811,2019-09-26,Utsav,Maharashtra,Mumbai
B-25821,2019-09-27,Ajay,West Bengal,Kolkata
B-25874,2019-09-28,Megha,Rajasthan,Udaipur
B-25668,2019-09-29,Rhea,Himachal Pradesh,Simla
B-25800,2019-09-30,Ishit,Maharashtra,Pune
B-25928,2019-10-01,Smriti,Bihar,Patna
B-26021,2019-10-02,Anita,Kerala ,Thiruvananthapuram
B-26064,2019-10-03,Ankita,Maharashtra,Mumbai
B-25882,2019-10-04,Masurkar,Punjab,Amritsar
B-25891,2019-10-05,Shivani,Madhya Pradesh,Indore
B-25820,2019-10-06,Dheeraj,Rajasthan,Jaipur
B-25889,2019-10-07,Abhishek,Gujarat,Surat
B-25871,2019-10-08,Gunjal,Gujarat,Surat
B-25637,2019-10-09,Ashmi,Madhya Pradesh,Indore
B-25616,2019-10-10,Kanak,Goa,Goa
B-25972,2019-10-11,Jesslyn,Rajasthan,Udaipur
B-25805,2019-10-12,Ankit,Maharashtra,Mumbai
B-25860,2019-10-13,Akshay,Tamil Nadu,Chennai
B-26080,2019-10-14,Sonakshi,Jammu and Kashmir,Kashmir
B-25807,2019-10-15,Vipul,Uttar Pradesh,Lucknow
B-25734,2019-10-16,Pranav,Madhya Pradesh,Indore
B-25880,2019-10-17,Apoorv,Rajasthan,Udaipur
B-25934,2019-10-18,Rahul,Madhya Pradesh,Indore
B-25913,2019-10-19,Geetanjali,Delhi,Delhi
B-25912,2019-10-20,Preksha,Delhi,Delhi
B-25824,2019-10-21,Shyam,Madhya Pradesh,Indore
B-25711,2019-10-22,Sakshi,Madhya Pradesh,Bhopal
B-25864,2019-10-23,Aromal,Maharashtra,Mumbai
B-25917,2019-10-24,Sanjay,Maharashtra,Mumbai
B-26049,2019-10-25,Lisha,Madhya Pradesh,Bhopal
B-25920,2019-10-26,Jayanti,Uttar Pradesh,Prayagraj
B-25699,2019-10-27,Kritika,Uttar Pradesh,Lucknow
B-25735,2019-10-28,Arindam,Uttar Pradesh,Lucknow
B-25701,2019-10-29,Maithilee,Madhya Pradesh,Indore
B-26092,2019-10-30,Ramesh,Gujarat,Ahmedabad
B-26082,2019-10-31,Jitesh,Uttar Pradesh,Lucknow
B-25818,2019-11-01,Sandeep,Madhya Pradesh,Indore
B-25846,2019-11-02,Soodesh,Punjab,Chandigarh
B-26011,2019-11-03,Bharat,Gujarat,Ahmedabad
B-25631,2019-11-04,Ritu,Haryana,Chandigarh
B-25606,2019-11-05,Hazel,Karnataka,Bangalore
B-25746,2019-11-06,Shivam,Maharashtra,Pune
B-26005,2019-11-07,Parnavi,West Bengal,Kolkata
B-25844,2019-11-08,Swati,Madhya Pradesh,Indore
B-25869,2019-11-09,Parakh,Nagaland,Kohima
B-26066,2019-11-10,Priyanka,Maharashtra,Pune
B-25865,2019-11-11,Arun,Madhya Pradesh,Indore
B-26039,2019-11-12,Hemant,Kerala ,Thiruvananthapuram
B-25916,2019-11-13,Utkarsh,Gujarat,Surat
B-26090,2019-11-14,Sagar,Nagaland,Kohima
B-25988,2019-11-15,Nirja,Delhi,Delhi
B-25906,2019-11-16,Abhijit,Delhi,Delhi
B-26017,2019-11-17,Sonakshi,Jammu and Kashmir,Kashmir
B-25644,2019-11-18,Mayank,Maharashtra,Mumbai
B-25679,2019-11-19,Avni,Maharashtra,Mumbai
B-25723,2019-11-20,Wale,Maharashtra,Mumbai
B-25605,2019-11-21,Kasheen,West Bengal,Kolkata
B-25792,2019-11-22,Abhishek,Maharashtra,Mumbai
B-25680,2019-11-23,Aayushi,Madhya Pradesh,Indore
B-25931,2019-11-24,Sidharth,Maharashtra,Mumbai
B-25932,2019-11-25,Bhutekar,Madhya Pradesh,Indore
B-25990,2019-11-26,Mugdha,Delhi,Delhi
B-25615,2019-11-27,Bhavna,Sikkim,Gangtok
B-26031,2019-11-28,Deepak,Madhya Pradesh,Bhopal
B-25801,2019-11-29,Aryan,Madhya Pradesh,Bhopal
B-25833,2019-11-30,Krishna,Madhya Pradesh,Indore
B-26077,2019-12-01,Divsha,Rajasthan,Jaipur
B-25936,2019-12-02,Nikhil,Punjab,Chandigarh
B-25938,2019-12-03,Shikhar,Himachal Pradesh,Simla
B-25716,2019-12-04,Surabhi,Tamil Nadu,Chennai
B-25740,2019-12-05,Rane,Maharashtra,Mumbai
B-25763,2019-12-06,Noshiba,Gujarat,Ahmedabad
B-25872,2019-12-07,Saurabh,Maharashtra,Mumbai
B-25879,2019-12-08,Siddharth,Madhya Pradesh,Indore
B-25926,2019-12-09,Dipali,Madhya Pradesh,Indore
B-26074,2019-12-10,Bharat,Gujarat,Ahmedabad
B-25627,2019-12-11,Hitika,Madhya Pradesh,Indore
B-25940,2019-12-12,Vivek,Goa,Goa
B-26047,2019-12-13,Ashmi,Madhya Pradesh,Indore
B-26069,2019-12-14,Sanskriti,West Bengal,Kolkata
B-26027,2019-12-15,Sagar,Nagaland,Kohima
B-25963,2019-12-16,Pratiksha,Maharashtra,Mumbai
B-25922,2019-12-17,Akshata,Gujarat,Surat
B-25866,2019-12-18,Komal,Himachal Pradesh,Simla
B-25607,2019-12-19,Sonakshi,Jammu and Kashmir,Kashmir
B-25775,2019-12-20,Duhita,Haryana,Chandigarh
B-25998,2019-12-21,Anmol,Rajasthan,Udaipur
B-26062,2019-12-22,Tushina,Goa,Goa
B-25722,2019-12-23,Inderpreet,Himachal Pradesh,Simla
B-25776,2019-12-24,Mousam,Maharashtra,Mumbai
B-26032,2019-12-25,Monisha,Rajasthan,Jaipur
B-25705,2019-12-26,Shweta,Madhya Pradesh,Indore
B-25628,2019-12-27,Pooja,Bihar,Patna
B-25733,2019-12-28,Dhirajendu,Maharashtra,Mumbai
B-25647,2019-12-29,Sharda,Kerala ,Thiruvananthapuram
B-25790,2019-12-30,Sajal,Bihar,Patna
B-25709,2019-12-31,Aakanksha,Madhya Pradesh,Indore
B-25911,2020-01-01,Phalguni,Madhya Pradesh,Bhopal
B-25774,2020-01-02,Snehal,Punjab,Chandigarh
B-26042,2020-01-03,Manish,Himachal Pradesh,Simla
